Trait,Trait description,# lines measured,Phenotyped_sex,Reference
Critical thermal min plasticity variation (M),"Flies were reared at fiev different temperatures during development, after which adult critical thermal minimums (CT min) were measured. Reaction norms for each DGRP line were calculated using the linear model lm (CTmin ~ Rearing temperature). The standard error of the slope provides a measure of the extent to which the same genotype can produce the same plastic response consistently. Higher values indicate greater variance in thermal plasticity.",166,Male,Orsted et al (2018) Evolution
Critical thermal min within environment variation plasticity (M),"Flies were reared at five different temperatures during development, after which adult critical thermal minimums were measured. This trait captures how consistently a genotype produces the same phenotype at a given rearing temperature. Higher values indicate greater variance in phenotype within a rearing temperature.",166,Male,Orsted et al (2018) Evolution
Day sleep bout length (F),The mean length of a sleep bout during the 12-hour light period of the light cycle. Higher values indicate longer bouts.,168,Female,"Harbison, McCoy and Mackay (2013) BMC Genomics"
Day sleep bout length (M),The mean length of a sleep bout during the 12-hour light period of the light cycle. Higher values indicate longer bouts.,168,Male,"Harbison, McCoy and Mackay (2013) BMC Genomics"
Day sleep bout length SD (F),"The standard deviation for the length of a sleep bout during the 12-hour light period of the light cycle. Standard deviations are used to estimate the inter-individual variation in sleep. Higher values indicate more within-individual variation in sleep bout length. Note that this study reanalyses the data collected in Harbison, McCoy and Mackay (2013).",167,Female,Wu et al (2018) SLEEPJ
Day sleep bout length SD (M),"The standard deviation for the length of a sleep bout during the 12-hour light period of the light cycle. Standard deviations are used to estimate the inter-individual variation in sleep. Higher values indicate more within-individual variation in sleep bout length. Note that this study reanalyses the data collected in Harbison, McCoy and Mackay (2013).",167,Male,Wu et al (2018) SLEEPJ
Day sleep bouts (F),"Mean number of separate periods of inactivity lasting > 5 minutes, during the 12-hour light period of the light cycle. Higher values indicate a higher frequency of sleep bouts.",168,Female,"Harbison, McCoy and Mackay (2013) BMC Genomics"
Day sleep bouts (M),"Mean number of separate periods of inactivity lasting > 5 minutes, during the 12-hour light period of the light cycle. Higher values indicate a higher frequency of sleep bouts.",168,Male,"Harbison, McCoy and Mackay (2013) BMC Genomics"
Day sleep bouts SD (F),"The standard deviation for the number of separate periods of inactivity lasting > 5 minutes, during the 12-hour light period of the light cycle. Standard deviations are used to estimate the inter-individual variation in sleep. Higher values indicate more within-individual variation in number of sleep bouts. Note that this study reanalyses the data collected in Harbison, McCoy and Mackay (2013).",167,Female,Wu et al (2018) SLEEPJ
Day sleep bouts SD (M),"The standard deviation for the number of separate periods of inactivity lasting > 5 minutes, during the 12-hour light period of the light cycle. Standard deviations are used to estimate the inter-individual variation in sleep. Higher values indicate more within-individual variation in number of sleep bouts. Note that this study reanalyses the data collected in Harbison, McCoy and Mackay (2013).",167,Male,Wu et al (2018) SLEEPJ
Day sleep (F),The sum of periods of inactivity lasting > 5 minutes (the studies definition of sleep) during the 12-hour light period of the light cycle. Higher values indicate a higher line average for sleep duration.,168,Female,"Harbison, McCoy and Mackay (2013) BMC Genomics"
Day sleep (M),The sum of periods of inactivity lasting > 5 minutes (the studies definition of sleep) during the 12-hour light period of the light cycle. Higher values indicate a higher line average for sleep duration.,168,Male,"Harbison, McCoy and Mackay (2013) BMC Genomics"
Day sleep SD (F),"The standard deviation for the sum of periods of inactivity lasting > 5 minutes (the studies definition of sleep) during the 12-hour light period of the light cycle. Standard deviations are used to estimate the inter-individual variation in sleep. Higher values indicate more within-individual variation in sleep duration. Note that this study reanalyses the data collected in Harbison, McCoy and Mackay (2013).",167,Female,Wu et al (2018) SLEEPJ
Day sleep SD (M),"The standard deviation for the sum of periods of inactivity lasting > 5 minutes (the studies definition of sleep) during the 12-hour light period of the light cycle. Standard deviations are used to estimate the inter-individual variation in sleep. Higher values indicate more within-individual variation in sleep duration. Note that this study reanalyses the data collected in Harbison, McCoy and Mackay (2013).",167,Male,Wu et al (2018) SLEEPJ
DDT resistance knockdown (F),"Mean knockdown of adults, four hours after vials were inoculated with 0.5 ug/ml of DDT. Knockdown is defined as either flies permanently seen to be in a prone position with jolting movement of legs or wings, or a prolonged inability to right themselves from a prone position. DDT is a historically used pesticide that targets the voltage gated sodium channel, resulting in uncontrolled nerve firing. Higher values indicate greater susceptiibility to DDT.",184,Female,Schmidt et al (2017) Genetics
DDT resistance mortality (F),"Mean survival of adults, 24 hours after vials were inoculated with 0.5 ug/ml of DDT. This is a historically used pesticide that targets the voltage gated sodium channel, resulting in uncontrolled nerve firing. Higher values indicate greater susceptiibility to DDT.",184,Female,Schmidt et al (2017) Genetics
Dessication tolerance (F),Mean number of hours survived in a vial with very low relative humidity (~3%). Higher values indicate greater dessication tolerance.,175,Female,Rajpurohit et al (2018) Molecular Ecology
Dessication tolerance (M),Mean number of hours survived in a vial with very low relative humidity (~3%). Higher values indicate greater dessication tolerance.,175,Male,Rajpurohit et al (2018) Molecular Ecology
Developmental acclimation cold exposure (F),"Mean change in proportion of adult flies surviving one hours of exposure to -6°C, when rearing temperature was changed from 25°C to 18°C. Higher values indicate greater developmental acclimation capacity to cold exposure.",182,Female,Gerken et al (2015) PNAS
Developmental acclimation cold exposure (M),"Mean change in proportion of adult flies surviving one hour of exposure to -6°C, when rearing temperature was changed from 25°C to 18°C. Higher values indicate greater developmental acclimation capacity to cold exposure.",183,Male,Gerken et al (2015) PNAS
Drosophila C virus resistance (M),"Mean days survived after infection with Drosophila C Virus (DCV) - a positive sense RNA virus that naturally infects multiple Drosophila species. Higher values indicate a longer lifespan, and therefore a greater resistance to DCV.",155,Male,Magwire et al (2012) PLOS Genetics
Egg adult development time  (F),"Mean egg-to-adult development time in days, when reared at 25C on control food medium. Higher values indicate a longer development time.",198,Female,Zhou et al (2016) Environmental Health Perspectives
Egg adult development time  (M),"Mean egg-to-adult development time in days, when reared at 25C on control food medium. Higher values indicate a longer development time.",198,Male,Zhou et al (2016) Environmental Health Perspectives
Ethanol sensitivity first exposure (F),Mean knockdown time (minutes) after a single exposure to ethanol. Higher values indicate a greater ethanol tolerance.,205,Female,Morozova el al. (2015) BMC Genomics
Ethanol sensitivity first exposure (M),Mean knockdown time (minutes) after a single exposure to ethanol. Higher values indicate a greater ethanol tolerance.,205,Male,Morozova el al. (2015) BMC Genomics
Ethanol sensitivity second exposure (F),"Mean knockdown time (minutes) after a second exposure to ethanol, following a 2 hr recovery period. Higher values indicate a greater ethanol tolerance.",205,Female,Morozova el al. (2015) BMC Genomics
Ethanol sensitivity second exposure (M),"Mean knockdown time (minutes) after a second exposure to ethanol, following a 2 hr recovery period. Higher values indicate a greater ethanol tolerance.",205,Male,Morozova el al. (2015) BMC Genomics
Ethanol tolerance (F),Mean difference in knockdown time between a second and first exposure to ethanol. Higher values indicate lines with higher tolerances to ethanol.,205,Female,Morozova el al. (2015) BMC Genomics
Ethanol tolerance (M),Mean difference in knockdown time between a second and first exposure to ethanol. Higher values indicate lines with higher tolerances to ethanol.,205,Male,Morozova el al. (2015) BMC Genomics
Exercise induced activity (F),"Exercise induced activity levels, measured as the mean number of times a fly crossed a beam running down the midline of a vial, within a five minute interval. Activity was induced by vertically rotating vials at four rpm. Higher values indicate higher exercise induced activity levels.",149,Female,Watanabe et al (2020) G3
Exercise induced activity (M),"Exercise induced activity levels, measured as the mean number of times a fly crossed a beam running down the midline of a vial, within a five minute interval. Activity was induced by vertically rotating vials at four rpm. Higher values indicate higher exercise induced activity levels.",148,Male,Watanabe et al (2020) G3
Fecundity (F),"Mean number of eggs produced by single females, per day. Higher values indicate more fecund females.",142,Female,Evangelou et al (2019) G3
Fertilised egg retention score (F),"Mean fertilised egg retention score. An estimation of the progression of embryo development taken two hours after a one hour egg laying period. Higher values indicate more developed embryos which signifies a greater degree of egg retention. Note that both males and femlaes were sourced from the DGRP line, therefore variation could be explained by either the male or female genotype.",91,Female,Horvath and Kalinka (2018) Evolution
Flight performance (F),"Mean height (m) at which flies catch themselves from freefall after vial inversion. Means are adjusted for wolbachia and chromosomal inversions. Higher values indicate lines that caught themselves earlier, which is interpreted as greater flight performance.",197,Female,Spierer et al (2021) PLOS Genetics
Flight performance (M),"Mean height (m) at which flies catch themselves from freefall after rapid inversion. Means are adjusted for wolbachia and chromosomal inversions. Higher values indicate lines that caught themselves earlier, which is interpreted as greater flight performance.",197,Male,Spierer et al (2021) PLOS Genetics
Flock house virus resistance (M),"Mean days survived after infection with Flock House Virus (FHV) - a nodavirus virus that typically infects beetles. Higher values indicate a longer lifespan, and therefore a greater resistance to FHV.",182,Male,Magwire et al (2012) PLOS Genetics
Food intake (F),Mean quantity of 4% sucrose solution consumed per fly iover a 24 hour period. Higher values indicate greater food intake.,183,Female,Garlapow et al (2015) PLOS One
Food intake (M),Mean quantity of 4% sucrose solution consumed per fly over a 24 hour period. Higher values indicate greater food intake.,182,Male,Garlapow et al (2015) PLOS One
Foraging survival (M),Adult mean survival when flies were provided access to food over a 5 day period. Higher values indicate greater survival and assumed greater foraging ability.,201,Male,Lee et al (2017) Genome Biology and Evolution
Glucose  (M),Estimated mass of free glucose per male fly divided by the average mass of males from that line. Higher values indicate greater content of the macronutrient.,145,Male,"Unckless, Rottschaefer and Lazzaro (2015) G3"
Glucose high glucose diet (M),Mean free glucose (mg/ul) extracted from 10 flies that were reared on a diet containing 10% glucose. Higher values indicate greater levels of free glucose.,147,Male,"Unckless, Rottschaefer and Lazzaro (2015) PLOS Genetics"
Glucose low glucose diet (M),Mean free glucose (mg/ul) extracted from 10 flies that were reared on a diet containing 2.5% glucose. Higher values indicate greater levels of free glucose.,150,Male,"Unckless, Rottschaefer and Lazzaro (2015) PLOS Genetics"
Glucose medium glucose diet (M),Mean free glucose (mg/ul) extracted from 10 flies that were reared on a diet containing 5% glucose. Higher values indicate greater levels of free glucose.,152,Male,"Unckless, Rottschaefer and Lazzaro (2015) PLOS Genetics"
Glucose yeast poor diet (F),Mean quantity of glucose extracted from whole fly homogenate and standardised for body size. Three flies reared on food with 0.5% yeast content (dietary restricted) were homogenised. Higher values indicate higher glucose levels.,181,Female,Nelson et al (2016) BMC Genomics
Glucose yeast rich diet (F),Mean quantity of glucose extracted from whole fly homogenate and standardised for body size. Three flies reared on food with 5% yeast content (ab libitum diet) were homogenised. Higher values indicate higher glucose levels.,181,Female,Nelson et al (2016) BMC Genomics
Glycerol  (M),Estimated mass of free glycerol per male fly divided by the average mass of males from that line. Higher values indicate greater content of the macronutrient.,145,Male,"Unckless, Rottschaefer and Lazzaro (2015) G3"
Glycerol high glucose diet (M),Mean glycerol (mg/ul) extracted from 10 flies that were reared on a diet containing 10% glucose. Higher values indicate greater levels of glycerol.,147,Male,"Unckless, Rottschaefer and Lazzaro (2015) PLOS Genetics"
Glycerol low glucose diet (M),Mean glycerol (mg/ul) extracted from 10 flies that were reared on a diet containing 2.5% glucose. Higher values indicate greater levels of glycerol.,150,Male,"Unckless, Rottschaefer and Lazzaro (2015) PLOS Genetics"
Glycerol medium glucose diet (M),Mean glycerol (mg/ul) extracted from 10 flies that were reared on a diet containing 5% glucose. Higher values indicate greater levels of glycerol.,152,Male,"Unckless, Rottschaefer and Lazzaro (2015) PLOS Genetics"
Glycogen  (M),Estimated mass of glycogen stores per male fly divided by the average mass of males from that line. Higher values indicate greater content of the macronutrient.,145,Male,"Unckless, Rottschaefer and Lazzaro (2015) G3"
Glycogen high glucose diet (M),Mean glycogen (mg/ul) extracted from 10 flies that were reared on a diet containing 10% glucose. Higher values indicate greater levels of glycogen.,147,Male,"Unckless, Rottschaefer and Lazzaro (2015) PLOS Genetics"
Glycogen low glucose diet (M),Mean glycogen (mg/ul) extracted from 10 flies that were reared on a diet containing 2.5% glucose. Higher values indicate greater levels of glycogen.,150,Male,"Unckless, Rottschaefer and Lazzaro (2015) PLOS Genetics"
Glycogen medium glucose diet (M),Mean glycogen (mg/ul) extracted from 10 flies that were reared on a diet containing 5% glucose. Higher values indicate greater levels of glycogen.,152,Male,"Unckless, Rottschaefer and Lazzaro (2015) PLOS Genetics"
Gustatory response ethanol (F),"Flies were given a choice between sucrose solution and sucrose solution supplemented with ethanol. Higher values indicate a preference for the ethanol supplemented sucrose, while lower values indicate an aversion towards the ethanol supplemented sucrose.",167,Female,Chohan (2012) PhD thesis
Gustatory response ethanol (M),"Flies were given a choice between sucrose solution and sucrose solution supplemented with ethanol. Higher values indicate a preference for the ethanol supplemented sucrose, while lower values indicate an aversion towards the ethanol supplemented sucrose.",167,Male,Chohan (2012) PhD thesis
Gut permeability (F),"The mean proportion of 19 day-old flies with permeable guts, following no exposure to radiation. Gut permeability is an indicator of intestinal damage, and in this case was detected using the smurf assay. Higher values indicate greater intestinal damage.",160,Female,Sharma et al (2020) Scientific reports
Gut permeability radiation (F),"The mean proportion of 19 day-old flies with permeable guts, following exposure to 100 gray units of ionising radiation when flies were 5 days old. Gut permeability is an indicator of intestinal damage, and in this case was detected using the smurf assay. Higher values indicate greater intestinal damage.",160,Female,Sharma et al (2020) Scientific reports
Hydrogen peroxide resistance (F),Lifespan on a diet supplemented with 2-3% hydrogen peroxide (H2O2). Data are corrected for line body mass. Higher values indicate greater resistance to hydrogen peroxide.,180,Female,Harrison et al (2020) BMC Genomics
Interocular distance (F),Mean Interocular distance. This is measured from eye edge to eye edge along the anterior edge of the posterior ocelli and palel to the base of the head. Higher values indicate a greater distance between the eyes.,149,Female,Vonesch et al (2016) PLOS Genetics
Interocular distance (M),Mean Interocular distance. This is measured from eye edge to eye edge along the anterior edge of the posterior ocelli and palel to the base of the head. Higher values indicate a greater distance between the eyes.,149,Male,Vonesch et al (2016) PLOS Genetics
Isolated aggression (M),Mean number of aggressive encounters over a two-minute period between pairs of males; a DGRP male and a control Canton-SB male. The DGRP male was housed in isolation for the 3 days preceding the aggression assay. Higher values indicate more aggressive males.,87,Male,Rohde et al (2017) Genetics
Kujin virus resistance (F),Mean survival after infection with the Kunjin subtype of the West Nile Virus. Calculated as the log(hazard ratio). Higher values indicate greater susceptibility to the virus.,86,Female,Ahlers et al (2019) Cell Reports
L. monocytogenes load (M),The median number  of colony forming units (originally log transformed) 48 hrs after initial infection with the bacterial pathogen L.monocytogenes. Higher values indicate a greater bacterial load and a more severe infection.,111,Male,Hotson and Schneider (2015) G3
L. monocytogenes MTD (M),Median days till death after injection with 1000 colony forming units of the bacterial pathogen L. monocytogenes. Higher values indicate greater resistance to the L. monocytogenes.,116,Male,Hotson and Schneider (2015) G3
Lead effect development time (F),Mean difference in egg-to-adult development time between flies reared on control food medium and those reared on food medium supplemented with 0.5 mM lead acetate. Higher values indicate a longer development time when supplemented with lead.,184,Female,Zhou et al (2016) Environmental Health Perspectives
Lead effect development time (M),Mean difference in egg-to-adult development time between flies reared on control food medium and those reared on food medium supplemented with 0.5 mM lead acetate. Higher values indicate a longer development time when supplemented with lead.,188,Male,Zhou et al (2016) Environmental Health Perspectives
Lead effect locomotor activity (F),Mean difference in locomotor between flies reared on control food medium and those reared on food medium supplemented with 0.5 mM lead acetate. Higher values indicate a larger negative effect of lead on activity.,200,Female,Zhou et al (2016) Environmental Health Perspectives
Lead effect locomotor activity (M),Mean difference in locomotor between flies reared on control food medium and those reared on food medium supplemented with 0.5 mM lead acetate. Higher values indicate a larger negative effect of lead on activity.,200,Male,Zhou et al (2016) Environmental Health Perspectives
Lead egg adult development time  (F),"Mean egg-to-adult development time in days, when reared at 25C on food medium supplemented with 0.5 mM lead acetate. Higher values indicate a longer development time.",185,Female,Zhou et al (2016) Environmental Health Perspectives
Lead egg adult development time  (M),"Mean egg-to-adult development time in days, when reared at 25C on food medium supplemented with 0.5 mM lead acetate. Higher values indicate a longer development time.",190,Male,Zhou et al (2016) Environmental Health Perspectives
Lead locomotor activity  (F),"Mean number of times adult flies crossed an infrared beam over a 2-day period, after developing at 25C on food medium supplemented with 0.5 mM lead acetate. Higher values indicate greater locomotor activity.",166,Female,Zhou et al (2016) Environmental Health Perspectives
Lead locomotor activity  (M),"Mean number of times adult flies crossed an infrared beam over a 2-day period, after developing at 25C on food medium supplemented with 0.5 mM lead acetate. Higher values indicate greater locomotor activity.",166,Male,Zhou et al (2016) Environmental Health Perspectives
Lifespan 18C (F),"Mean adult lifespan when reared at 18C, measured in days. Higher values indicate longer-lived flies.",183,Female,Huang et al (2020) PLOS Biology
Lifespan 18C (M),"Mean adult lifespan when reared at 18C, measured in days. Higher values indicate longer-lived flies.",183,Male,Huang et al (2020) PLOS Biology
Lifespan  (F),Mean lifespan in days. Higher values indicate a longer lifespan.,191,Female,Houston (2019) Thesis
Lifespan 25C  (F),"Mean adult lifespan, measured as the number of days from eclosion to death, when living with a single  standard male, at 25C. Higher values indicate longer lived flies.",189,Female,Durham et al (2014) Nature Communications
Lifespan 25C  (F),"Adult lifespan, measured in days, for virgin females. Higher values indicate greater longevity.",197,Female,Ivanov et al (2015) The Journals of Gerontology: Series A
Lifespan 25C  (F),"Mean adult lifespan when reared at 25C, measured in days. Higher values indicate longer-lived flies.",186,Female,Huang et al (2020) PLOS Biology
Lifespan 25C  (M),"Mean adult lifespan when reared at 25C, measured in days. Higher values indicate longer-lived flies.",186,Male,Huang et al (2020) PLOS Biology
Lifespan 25C high yeast (F),Median mated female lifespan when reared at 25C and then kept as adults on a diet containing 5% yeast. Higher values indicate longer lived flies. Note these flies come from the same populations as used by Jin et al (2020).,161,Female,Wilson et al (2020) Current Biology
Lifespan 25C low yeast (F),Median mated female lifespan when reared at 25C and then kept as adults on a diet containing 0.5% yeast (dietary restricted). Higher values indicate longer lived flies. Note these flies come from the same populations as used by Jin et al (2020).,161,Female,Wilson et al (2020) Current Biology
Lifespan 28C (F),"Mean adult lifespan when reared at 28C, measured in days. Higher values indicate longer-lived flies.",177,Female,Huang et al (2020) PLOS Biology
Lifespan 28C (M),"Mean adult lifespan when reared at 28C, measured in days. Higher values indicate longer-lived flies.",177,Male,Huang et al (2020) PLOS Biology
Lifespan following diapause  (F),"Mean lifespan in days for virgin females following diapause induction (10 ̊C for 35 days, moved to 18 ̊C for a day of acclimation, remainder of their lives at 25 ̊C). Higher values indicate a longer lifespan.",197,Female,Houston (2019) Thesis
Lifespan high sugar diet (F),Mean lifespan of 20 females maintained on a high sugar diet. Means are adjusted for block effects. Higher values indicate longer lived flies.,193,Female,Patel and Talbert (2021) Heliyon
Lifetime fecundity 25C (F),"Fecundity was estimated every other week of the female’s lifespan as a 2-day total of eggs laid, when living with a single standard male, at 25C. Lifetime fecundity was estimated as the sum of all egg counts across the female's lifespan. Higher values indicate greater fecundity. Note that female's were eliminated form the analysis upon death.",189,Female,Durham et al (2014) Nature Communications
Locomotor activity  (F),"Mean number of times adult flies crossed an infrared beam over a 2-day period, after developing at 25C on control food medium. Higher values indicate greater locomotor activity.",166,Female,Zhou et al (2016) Environmental Health Perspectives
Locomotor activity  (M),"Mean number of times adult flies crossed an infrared beam over a 2-day period, after developing at 25C on control food medium. Higher values indicate greater locomotor activity.",166,Male,Zhou et al (2016) Environmental Health Perspectives
Locomotor activity (M),Mean total distance traveled by individual flies during a five minute interval. Higher values indicate more active lines.,204,Male,Rohde et al (2018) G3
Locomotor frequency (F),The proportion of flies engaging in a ‘walking bout’ at a given time point. Higher values indicate more active lines.,98,Female,Maesani et al (2015) PLOS Computational Biology
M. anisopliae resistance (F),Mean number of days required for 50% of 20 flies to die (LT50) when exposed to the fungal pathogen Metarhizium anisopliae (Ma549). Higher values indicate greater resistance to Ma549.,188,Female,"Wang, Lu and St. Leger (2017) PLOS Pathogens"
M. anisopliae resistance (M),Mean number of days required for 50% of 20 flies to die (LT50) when exposed to the fungal pathogen Metarhizium anisopliae (Ma549). Higher values indicate greater resistance to Ma549.,188,Male,"Wang, Lu and St. Leger (2017) PLOS Pathogens"
Malathion mortality 12hr (F),"Mean mortality after 12 hours of exposure to melathion, an organophosphate pesticide. Higher values indicate greater susceptibility to melathion.",170,Female,Battlay et al (2018) G3
Malathion mortality 12hr (M),"Mean mortality after 12 hours of exposure to melathion, an organophosphate pesticide. Higher values indicate greater susceptibility to melathion.",170,Male,Battlay et al (2018) G3
Malathion mortality 24hr (F),"Mean mortality after 24 hours of exposure to melathion, an organophosphate pesticide. Higher values indicate greater susceptibility to melathion.",170,Female,Battlay et al (2018) G3
Malathion mortality 24hr (M),"Mean mortality after 24 hours of exposure to melathion, an organophosphate pesticide. Higher values indicate greater susceptibility to melathion.",170,Male,Battlay et al (2018) G3
Malathion mortality 3hr (F),"Mean mortality after 3 hours of exposure to melathion, an organophosphate pesticide. Higher values indicate greater susceptibility to melathion.",170,Female,Battlay et al (2018) G3
Malathion mortality 3hr (M),"Mean mortality after 3 hours of exposure to melathion, an organophosphate pesticide. Higher values indicate greater susceptibility to melathion.",170,Male,Battlay et al (2018) G3
Malathion mortality 6hr (F),"Mean mortality after 6 hours of exposure to melathion, an organophosphate pesticide. Higher values indicate greater susceptibility to melathion.",170,Female,Battlay et al (2018) G3
Malathion mortality 6hr (M),"Mean mortality after 6 hours of exposure to melathion, an organophosphate pesticide. Higher values indicate greater susceptibility to melathion.",170,Male,Battlay et al (2018) G3
Mass yeast poor diet (F),"Mean virgin female body mass for groups of three flies, after rearing on food with 0.5% yeast content (dietary restricted). Higher values indicate heavier flies.",181,Female,Nelson et al (2016) BMC Genomics
Mass yeast rich diet (F),"Mean virgin female body mass for groups of three flies, after rearing on food with 5% yeast content (ab libitum diet). Higher values indicate heavier flies.",181,Female,Nelson et al (2016) BMC Genomics
Micro environmental plasticity lifespan 18C (F),Mean within-line (micro-environmental) variance in lifespan at 18C. Such micro-environmental variance may be due to the plasticity of lifespan in response to unmeasured environmental variation and intrinsic variability of each individual genotype. Higher values indicate greater variance in lifespan.,183,Female,Huang et al (2020) PLOS Biology
Micro environmental plasticity lifespan 18C (M),Mean within-line (micro-environmental) variance in lifespan at 18C. Such micro-environmental variance may be due to the plasticity of lifespan in response to unmeasured environmental variation and intrinsic variability of each individual genotype. Higher values indicate greater variance in lifespan.,183,Male,Huang et al (2020) PLOS Biology
Micro environmental plasticity lifespan 25C (F),Mean within-line (micro-environmental) variance in lifespan at 25C. Such micro-environmental variance may be due to the plasticity of lifespan in response to unmeasured environmental variation and intrinsic variability of each individual genotype. Higher values indicate greater variance in lifespan.,186,Female,Huang et al (2020) PLOS Biology
Micro environmental plasticity lifespan 25C (M),Mean within-line (micro-environmental) variance in lifespan at 25C. Such micro-environmental variance may be due to the plasticity of lifespan in response to unmeasured environmental variation and intrinsic variability of each individual genotype. Higher values indicate greater variance in lifespan.,186,Male,Huang et al (2020) PLOS Biology
Micro environmental plasticity lifespan 28C (F),Mean within-line (micro-environmental) variance in lifespan at 28C. Such micro-environmental variance may be due to the plasticity of lifespan in response to unmeasured environmental variation and intrinsic variability of each individual genotype. Higher values indicate greater variance in lifespan.,177,Female,Huang et al (2020) PLOS Biology
Micro environmental plasticity lifespan 28C (M),Mean within-line (micro-environmental) variance in lifespan at 28C. Such micro-environmental variance may be due to the plasticity of lifespan in response to unmeasured environmental variation and intrinsic variability of each individual genotype. Higher values indicate greater variance in lifespan.,177,Male,Huang et al (2020) PLOS Biology
MSB resistance (F),Mean hours survived when exposed to food medium supplemented with medione sodium bisulfite (MSB; 75 mM total). MSB facilitates oxidative stress induced mortality. Higher values indicate greater resistance to oxidative stress.,167,Female,Weber et al (2012) PLOS One
MSB resistance (M),Mean hours survived when exposed to food medium supplemented with medione sodium bisulfite (MSB; 75 mM total). MSB facilitates oxidative stress induced mortality. Higher values indicate greater resistance to oxidative stress.,167,Male,Weber et al (2012) PLOS One
Negative geotaxis (F),Mean height climbed in 5 seconds (expressed as 26 5mm bins). Higher values indicate faster climbing and greater negative geotaxis.,192,Female,Jordan et al (2012) PLOS One
Negative geotaxis (M),Mean height climbed in 5 seconds (expressed as 26 5mm bins). Higher values indicate faster climbing and greater negative geotaxis.,192,Male,Jordan et al (2012) PLOS One
Negative geotaxis msb (F),Mean height climbed in 5 seconds (expressed as 26 5mm bins). Prior to phenotyping flies were exposed to food medium supplemented with medione sodium bisulfite (MSB; 3 mM concentration). MSB facilitates oxidative stress. Higher values indicate faster climbing and greater negative geotaxis.,192,Female,Jordan et al (2012) PLOS One
Negative geotaxis msb (M),Mean height climbed in 5 seconds (expressed as 26 5mm bins). Prior to phenotyping flies were exposed to food medium supplemented with medione sodium bisulfite (MSB; 3 mM concentration). MSB facilitates oxidative stress. Higher values indicate faster climbing and greater negative geotaxis.,192,Male,Jordan et al (2012) PLOS One
Negative geotaxis sensitivity msb (F),"Mean difference in negative geotaxis between flies reared on medium supplemented with medione sodium bisulfite (MSB; 3 mM concentration) and flies reared on standard medium. Calculated as the difference between control and MSB conditions, divided by the population mean difference between control and MSB conditions. MSB facilitates oxidative stress induced mortality. Higher values indicate a greater sensitivity to oxidative stress and a more compromised startle response.",192,Female,Jordan et al (2012) PLOS One
Negative geotaxis sensitivity msb (M),"Mean difference in negative geotaxis between flies reared on medium supplemented with medione sodium bisulfite (MSB; 3 mM concentration) and flies reared on standard medium. Calculated as the difference between control and MSB conditions, divided by the population mean difference between control and MSB conditions. MSB facilitates oxidative stress induced mortality. Higher values indicate a greater sensitivity to oxidative stress and a more compromised startle response.",192,Male,Jordan et al (2012) PLOS One
Night sleep bout length (F),The mean length of a sleep bout during the 12-hour dark period of the light cycle. Higher values indicate longer bouts.,168,Female,"Harbison, McCoy and Mackay (2013) BMC Genomics"
Night sleep bout length (M),The mean length of a sleep bout during the 12-hour dark period of the light cycle. Higher values indicate longer bouts.,168,Male,"Harbison, McCoy and Mackay (2013) BMC Genomics"
Night sleep bout length SD (F),"The standard deviation for the length of a sleep bout during the 12-hour dark period of the light cycle. Standard deviations are used to estimate the inter-individual variation in sleep. Higher values indicate more within-individual variation in sleep bout length. Note that this study reanalyses the data collected in Harbison, McCoy and Mackay (2013).",167,Female,Wu et al (2018) SLEEPJ
Night sleep bout length SD (M),"The standard deviation for the length of a sleep bout during the 12-hour dark period of the light cycle. Standard deviations are used to estimate the inter-individual variation in sleep. Higher values indicate more within-individual variation in sleep bout length. Note that this study reanalyses the data collected in Harbison, McCoy and Mackay (2013).",167,Male,Wu et al (2018) SLEEPJ
Night sleep bouts (F),"Mean number of separate periods of inactivity lasting > 5 minutes, during the 12-hour dark period of the light cycle. Higher values indicate a higher frequency of sleep bouts.",168,Female,"Harbison, McCoy and Mackay (2013) BMC Genomics"
Night sleep bouts (M),"Mean number of separate periods of inactivity lasting > 5 minutes, during the 12-hour dark period of the light cycle. Higher values indicate a higher frequency of sleep bouts.",168,Male,"Harbison, McCoy and Mackay (2013) BMC Genomics"
Night sleep bouts SD (F),"The standard deviation for the number of separate periods of inactivity lasting > 5 minutes, during the 12-hour dark period of the light cycle. Standard deviations are used to estimate the inter-individual variation in sleep. Higher values indicate more within-individual variation in number of sleep bouts. Note that this study reanalyses the data collected in Harbison, McCoy and Mackay (2013).",167,Female,Wu et al (2018) SLEEPJ
Night sleep bouts SD (M),"The standard deviation for the number of separate periods of inactivity lasting > 5 minutes, during the 12-hour dark period of the light cycle. Standard deviations are used to estimate the inter-individual variation in sleep. Higher values indicate more within-individual variation in number of sleep bouts. Note that this study reanalyses the data collected in Harbison, McCoy and Mackay (2013).",167,Male,Wu et al (2018) SLEEPJ
Night sleep (F),The sum of periods of inactivity lasting > 5 minutes (the studies definition of sleep) during the 12-hour dark period of the light cycle. Higher values indicate a higher line average for sleep duration.,168,Female,"Harbison, McCoy and Mackay (2013) BMC Genomics"
Night sleep (M),The sum of periods of inactivity lasting > 5 minutes (the studies definition of sleep) during the 12-hour dark period of the light cycle. Higher values indicate a higher line average for sleep duration.,168,Male,"Harbison, McCoy and Mackay (2013) BMC Genomics"
