Trait,Female_Evid_Ratio,Male_Evid_Ratio,Overall_Evid_Ratio,Diff_Evid_Ratio,Concord_Evid_Ratio,Female_notable,Male_notable,Overall_notable,Diff_notable,Concord_notable,Trait_nice,Life_stage,Trait guild,study_ID,Reference,Trait description,Trait_Sex,position
ethanol.sensitivity.first.exposure.f,0.34115674769488685,0.9145626420964461,0.44875045273451647,0.5100037750094375,1.044826756046896,No,No,No,No,No,Ethanol sensitivity first exposure (F),Adult,Drug response,76,Morozova el al. (2015) BMC Genomics,Mean knockdown time (minutes) after a single exposure to ethanol. Higher values indicate a greater ethanol tolerance.,Traits measured in females,180
ethanol.sensitivity.first.exposure.m,1.1694915254237288,0.18950263920898075,0.3535233905760934,3.5467462347257745,0.8989160972081853,No,No,No,No,No,Ethanol sensitivity first exposure (M),Adult,Drug response,76,Morozova el al. (2015) BMC Genomics,Mean knockdown time (minutes) after a single exposure to ethanol. Higher values indicate a greater ethanol tolerance.,Traits measured in males,181
ethanol.sensitivity.second.exposure.f,0.2634238787113076,0.24931677988599985,0.13612156500745579,1.0570840833119053,2.0783918250226696,No,No,No,No,No,Ethanol sensitivity second exposure (F),Adult,Drug response,76,Morozova el al. (2015) BMC Genomics,"Mean knockdown time (minutes) after a second exposure to ethanol, following a 2 hr recovery period. Higher values indicate a greater ethanol tolerance.",Traits measured in females,182
ethanol.sensitivity.second.exposure.m,0.3801431898559475,0.18571216837112792,0.15456775869533843,1.5719337727053528,1.8919980177161084,No,No,No,No,No,Ethanol sensitivity second exposure (M),Adult,Drug response,76,Morozova el al. (2015) BMC Genomics,"Mean knockdown time (minutes) after a second exposure to ethanol, following a 2 hr recovery period. Higher values indicate a greater ethanol tolerance.",Traits measured in males,183
ethanol.tolerance.f,0.6061031921300943,0.13483225760692247,0.17190361092800116,2.7105751391465676,1.4599412973445973,No,No,No,No,No,Ethanol tolerance (F),Adult,Drug response,76,Morozova el al. (2015) BMC Genomics,Mean difference in knockdown time between a second and first exposure to ethanol. Higher values indicate lines with higher tolerances to ethanol.,Traits measured in females,184
ethanol.tolerance.m,0.20075046904315197,0.542317331791016,0.1996700907250506,0.4978468451600824,1.4922870530555343,No,No,No,No,No,Ethanol tolerance (M),Adult,Drug response,76,Morozova el al. (2015) BMC Genomics,Mean difference in knockdown time between a second and first exposure to ethanol. Higher values indicate lines with higher tolerances to ethanol.,Traits measured in males,185
MPH.effect.on.activity.m,0.33902418612436186,1.4464831804281346,0.6192693047262423,0.36089138385642594,0.8347166810433919,No,No,No,No,No,MPH effect on activity (M),Adult,Drug response,92,Rohde et al (2019) Genetics,Mean difference in distance moved during a 10-min trial in a circular arena (16mm diameter x 6mm height) between flies fed a control 5% sucrose solution and a 5% sucrose solution supplemented with 1.5 mg ml^-1 methylphenidate (MPH). MPH is a drug used to treat the symptoms of attention-deficit/hyperactivity disorder (ADHD) in humans. Positive values indicate greater activity when flies were supplemented with MPH.,Traits measured in males,186
MSB.resistance.f,0.6801428121390318,0.23475845037814477,0.2853470437017995,2.031451307313376,1.267534891604569,No,No,No,No,No,MSB resistance (F),Adult,Drug response,112,Weber et al (2012) PLOS One,Mean hours survived when exposed to food medium supplemented with medione sodium bisulfite (MSB; 75 mM total). MSB facilitates oxidative stress induced mortality. Higher values indicate greater resistance to oxidative stress.,Traits measured in females,187
MSB.resistance.m,1.4802356223841264,0.7750166407810073,1.0909566126502874,1.6130981544994283,0.9520918234712386,No,No,No,No,No,MSB resistance (M),Adult,Drug response,112,Weber et al (2012) PLOS One,Mean hours survived when exposed to food medium supplemented with medione sodium bisulfite (MSB; 75 mM total). MSB facilitates oxidative stress induced mortality. Higher values indicate greater resistance to oxidative stress.,Traits measured in males,188
paraquat.resistance.2021.f,1.4045686804929365,49.314465408805034,16.112299465240643,0.1073430687244792,1.3853882446725523,No,Yes,No,No,No,Paraquat resistance  (F),Adult,Drug response,65,Lovejoy et al (2021) Molecular Ecology,"Mean difference in centimetres climbed in three seconds following vial inversion, after 24 hours of exposure to sucrose or sucrose supplemented with paraquat (200 uM in 1% sucrose solution). Paraquat is a herbicide that causes oxidative stress in D. melanogaster. Higher values indicate greater resistance to paraquat and the effects of oxidative stress.",Traits measured in females,189
paraquat.resistance.2021.m,0.04329681794470527,7.093070308548305,0.49281582384773276,0.02086390608052064,0.1831614532505919,No,No,No,Yes,No,Paraquat resistance  (M),Adult,Drug response,65,Lovejoy et al (2021) Molecular Ecology,"Mean difference in centimetres climbed in three seconds following vial inversion, after 24 hours of exposure to sucrose or sucrose supplemented with paraquat (200 uM in 1% sucrose solution). Paraquat is a herbicide that causes oxidative stress in D. melanogaster. Higher values indicate greater resistance to paraquat and the effects of oxidative stress.",Traits measured in males,190
paraquat.resistance.f,0.7811421574084382,4.54016620498615,2.3451808488396404,0.2935564718247231,0.854398000402636,No,No,No,No,No,Paraquat resistance (F),Adult,Drug response,112,Weber et al (2012) PLOS One,Mean hours survived when exposed to food medium supplemented with paraquat (20 mM/50ml concentration). Paraquat is a herbicide that facilitates oxidative stress induced mortality. Higher values indicate greater resistance to oxidative stress.,Traits measured in females,191
paraquat.resistance.m,1.0163831127914305,1.347762289068232,1.250035156799325,0.8126203693214002,1.0024099316403845,No,No,No,No,No,Paraquat resistance (M),Adult,Drug response,112,Weber et al (2012) PLOS One,Mean hours survived when exposed to food medium supplemented with paraquat (20 mM/50ml concentration). Paraquat is a herbicide that facilitates oxidative stress induced mortality. Higher values indicate greater resistance to oxidative stress.,Traits measured in males,192
startle.sensitivity.msb.f,0.5003750937734434,4.9790732436472345,1.8045574057843996,0.1945647304763327,0.637181706295332,No,No,No,No,No,Startle sensitivity msb (F),Adult,Drug response,58,Jordan et al (2012) PLOS One,"Mean difference in startle response between flies reared on medium supplemented with medione sodium bisulfite (MSB; 3 mM concentration) and flies reared on standard medium. Calculated as the difference between control and MSB conditions, divided by the population mean difference between control and MSB conditions. MSB facilitates oxidative stress induced mortality. Higher values indicate a greater sensitivity to oxidative stress and a more compromised startle response.",Traits measured in females,193
startle.sensitivity.msb.m,0.4652014652014652,0.6176321908805985,0.40758335532682327,0.8101595203077271,1.1888468675891288,No,No,No,No,No,Startle sensitivity msb (M),Adult,Drug response,58,Jordan et al (2012) PLOS One,"Mean difference in startle response between flies reared on medium supplemented with medione sodium bisulfite (MSB; 3 mM concentration) and flies reared on standard medium. Calculated as the difference between control and MSB conditions, divided by the population mean difference between control and MSB conditions. MSB facilitates oxidative stress induced mortality. Higher values indicate a greater sensitivity to oxidative stress and a more compromised startle response.",Traits measured in males,194
tunicamycin.ER.stress.m,16.448200654307524,2.284072249589491,13.869888475836431,3.7548291233283804,2.0589534899504778,No,No,No,No,No,Tunicamycin ER stress (M),Adult,Drug response,18,"Chow, Wolfner and Clark (2013) PNAS","The hazard ratio of the death rate of male flies exposed to tunicamycin - an endoplasmic reticulum (ER) stress inducing drug – with the control group, fed drug free media. Higher values indicate greater ER stress and lower survival of flies exposed to tunicamycin.",Traits measured in males,195
tunicamycin.LT50.m,2.0639601685178093,0.4552069122328331,0.9900497512437811,2.973181028060591,0.7699088123621494,No,No,No,No,No,Tunicamycin LT50 (M),Adult,Drug response,18,"Chow, Wolfner and Clark (2013) PNAS",Mean time required for 50% of male flies exposed to tunicamycin (TM) media to die. TM is an antibiotic that causes endoplasmic reticulum (ER) stress. Higher values indicate longer survival times and greater resistance to ER stress.,Traits measured in males,196
boric.acid.resistance.f,13.401440144014401,9.966415352981494,41.780748663101605,1.2093344380005524,5.7585223779164005,No,No,Yes,No,No,Boric acid resistance (F),Adult,Insecticide response,79,"Najarro, Hackett and Macdonald (2017) G3","Mean lifespan, measured in hours, for mated females exposed to media supplemented with 1.5% boric acid (BH3O3, BP168). Boric acid is a common household pesticide. Higher values indicate a greater resistance to boric acid.",Traits measured in females,197
DDT.resistance.knockdown.f,0.5879317189360858,4.056890012642225,1.7967138612130746,0.2502930374306478,0.7288060800381028,No,No,No,No,No,DDT resistance knockdown (F),Adult,Insecticide response,94,Schmidt et al (2017) Genetics,"Mean knockdown of adults, four hours after vials were inoculated with 0.5 ug/ml of DDT. Knockdown is defined as either flies permanently seen to be in a prone position with jolting movement of legs or wings, or a prolonged inability to right themselves from a prone position. DDT is a historically used pesticide that targets the voltage gated sodium channel, resulting in uncontrolled nerve firing. Higher values indicate greater susceptiibility to DDT.",Traits measured in females,198
DDT.resistance.mortality.f,0.17742291559349474,27.622540250447226,2.4071550255536627,0.024,0.2122618505675312,No,No,No,Yes,No,DDT resistance mortality (F),Adult,Insecticide response,94,Schmidt et al (2017) Genetics,"Mean survival of adults, 24 hours after vials were inoculated with 0.5 ug/ml of DDT. This is a historically used pesticide that targets the voltage gated sodium channel, resulting in uncontrolled nerve firing. Higher values indicate greater susceptiibility to DDT.",Traits measured in females,199
deltamethrin.resistance.m,0.16830960204454182,2.9292730844793713,0.6293279022403259,0.12986371018995835,0.4819967497958781,No,No,No,No,No,Deltamethrin resistance (M),Adult,Insecticide response,25,Duneau et al (2018) G3,"Mean survival 48 hours after exposure to deltamethrin, a pyrethroid pesticide. Higher values indicate greater resistance to deltamethrin.",Traits measured in males,200
malathion.mortality.12hr.f,0.2522501369648587,0.5002344116268167,0.2315270935960591,0.6455826391031575,1.4966210282392216,No,No,No,No,No,Malathion mortality 12hr (F),Adult,Insecticide response,10,Battlay et al (2018) G3,"Mean mortality after 12 hours of exposure to melathion, an organophosphate pesticide. Higher values indicate greater susceptibility to melathion.",Traits measured in females,201
malathion.mortality.12hr.m,0.16848024538085152,0.48491879350348027,0.17181778233484693,0.5039007425509916,1.6554956052066387,No,No,No,No,No,Malathion mortality 12hr (M),Adult,Insecticide response,10,Battlay et al (2018) G3,"Mean mortality after 12 hours of exposure to melathion, an organophosphate pesticide. Higher values indicate greater susceptibility to melathion.",Traits measured in males,202
malathion.mortality.24hr.f,0.5987210231814548,1.4679932130186641,0.9384540828689121,0.5242450223873487,0.9091331378142358,No,No,No,No,No,Malathion mortality 24hr (F),Adult,Insecticide response,10,Battlay et al (2018) G3,"Mean mortality after 24 hours of exposure to melathion, an organophosphate pesticide. Higher values indicate greater susceptibility to melathion.",Traits measured in females,203
malathion.mortality.24hr.m,0.3224233407719646,0.9441069258809235,0.42602495543672014,0.4751982297621243,1.0299020429536787,No,No,No,No,No,Malathion mortality 24hr (M),Adult,Insecticide response,10,Battlay et al (2018) G3,"Mean mortality after 24 hours of exposure to melathion, an organophosphate pesticide. Higher values indicate greater susceptibility to melathion.",Traits measured in males,204
malathion.mortality.3hr.f,0.12170499158721257,0.353981552001354,0.09988313741664948,0.5031942878617062,2.19279131576726,No,No,No,No,No,Malathion mortality 3hr (F),Adult,Insecticide response,10,Battlay et al (2018) G3,"Mean mortality after 3 hours of exposure to melathion, an organophosphate pesticide. Higher values indicate greater susceptibility to melathion.",Traits measured in females,205
malathion.mortality.3hr.m,0.25559130503021266,1.190280629705681,0.43962569731869716,0.3380163907007861,0.9020338165266976,No,No,No,No,No,Malathion mortality 3hr (M),Adult,Insecticide response,10,Battlay et al (2018) G3,"Mean mortality after 3 hours of exposure to melathion, an organophosphate pesticide. Higher values indicate greater susceptibility to melathion.",Traits measured in males,206
malathion.mortality.6hr.f,0.2887635924285139,0.8501387604070305,0.3764624913971094,0.48203038162282325,1.093587276746722,No,No,No,No,No,Malathion mortality 6hr (F),Adult,Insecticide response,10,Battlay et al (2018) G3,"Mean mortality after 6 hours of exposure to melathion, an organophosphate pesticide. Higher values indicate greater susceptibility to melathion.",Traits measured in females,207
malathion.mortality.6hr.m,0.5206234556168029,1.4806201550387597,0.8233618233618234,0.4790164540580514,0.8848725723062154,No,No,No,No,No,Malathion mortality 6hr (M),Adult,Insecticide response,10,Battlay et al (2018) G3,"Mean mortality after 6 hours of exposure to melathion, an organophosphate pesticide. Higher values indicate greater susceptibility to melathion.",Traits measured in males,208
parathion.resistance.m,34.874439461883405,12.91304347826087,111.67605633802818,1.7392569765451122,9.444631214759568,No,No,Yes,No,No,Parathion resistance (M),Adult,Insecticide response,25,Duneau et al (2018) G3,"Mean survival 48 hours after exposure to parathion, an organophosphate pesticide. Higher values indicate greater resistance to parathion.",Traits measured in males,209
permethrin.knockdown.f,0.30356851882027047,0.2990176179264431,0.17768290887678492,1.002002002002002,1.8101517257997963,No,No,No,No,No,Permethrin knockdown (F),Adult,Insecticide response,10,Battlay et al (2018) G3,"Mean proportion of flies 'knocked down' after 3 hours of exposure to permethrin, a pyrethroid pesticide. Knockdown is a phenotype where the fly lies paralyzed and twitching, or exhibits uncontrolled flight. Higher values indicate greater susceptibility to permethrin.",Traits measured in females,210
permethrin.knockdown.m,0.1215477358755082,0.6051364365971108,0.15782618134452564,0.34104433827843433,1.4773308741695519,No,No,No,No,No,Permethrin knockdown (M),Adult,Insecticide response,10,Battlay et al (2018) G3,"Mean proportion of flies 'knocked down' after 3 hours of exposure to permethrin, a pyrethroid pesticide. Knockdown is a phenotype where the fly lies paralyzed and twitching, or exhibits uncontrolled flight. Higher values indicate greater susceptibility to permethrin.",Traits measured in males,211
permethrin.mortality.24hr.f,0.224739742804654,0.25166236407729015,0.1269192844062544,0.9186952872047008,2.2177872845515436,No,No,No,No,No,Permethrin mortality 24hr (F),Adult,Insecticide response,10,Battlay et al (2018) G3,"Mean mortality after 24 hours of exposure to permethrin, a pyrethroid pesticide. Higher values indicate greater susceptibility to permethrin.",Traits measured in females,212
permethrin.mortality.24hr.m,0.03761348897535668,0.2936610608020699,0.037680783448991506,0.2855535915153463,3.0519869931217527,No,No,No,No,No,Permethrin mortality 24hr (M),Adult,Insecticide response,10,Battlay et al (2018) G3,"Mean mortality after 24 hours of exposure to permethrin, a pyrethroid pesticide. Higher values indicate greater susceptibility to permethrin.",Traits measured in males,213
climbing.age.decline.high.yeast.f,0.937984496124031,0.47072341207831603,0.5621948838117555,1.5769044934772105,1.0233003265606728,No,No,No,No,No,Climbing age decline high yeast (F),Adult,Life history,113,Wilson et al (2020) Current Biology,Median day at which climbing performance dropped below 50% of their day 7 climbing value. Climbing was measured as the proportion of flies in a vial that climbed above a line drawn 6cm from the bottom of the vial. Mated females were kept as adults on a diet containing 5% yeast. Higher values indicate a slower age related decline in climbing performance. Note these flies come from the same populations as used by Jin et al (2020).,Traits measured in females,214
climbing.age.decline.low.yeast.f,1.2200638268350215,4.745062836624776,3.329004329004329,0.39786825091735106,1.1381618373024212,No,No,No,No,No,Climbing age decline low yeast (F),Adult,Life history,113,Wilson et al (2020) Current Biology,Median day at which climbing performance dropped below 50% of their day 7 climbing value. Climbing was measured as the proportion of flies in a vial that climbed above a line drawn 6cm from the bottom of the vial. Mated females were kept as adults on a diet containing 0.5% yeast (dietary restricted). Higher values indicate a slower age related decline in climbing performance. Note these flies come from the same populations as used by Jin et al (2020).,Traits measured in females,215
egg.adult.development.time.2016.f,0.9586240665932183,12.757523645743767,5.506710044733632,0.17044623262618874,0.9645324237098004,No,No,No,No,No,Egg adult development time  (F),Juvenile,Life history,118,Zhou et al (2016) Environmental Health Perspectives,"Mean egg-to-adult development time in days, when reared at 25C on control food medium. Higher values indicate a longer development time.",Traits measured in females,216
egg.adult.development.time.2016.m,0.9672937415467847,14.57935735150925,5.8728522336769755,0.15933627997971161,0.97143243464405,No,No,No,No,No,Egg adult development time  (M),Juvenile,Life history,118,Zhou et al (2016) Environmental Health Perspectives,"Mean egg-to-adult development time in days, when reared at 25C on control food medium. Higher values indicate a longer development time.",Traits measured in males,217
fecundity.f,34.32008830022075,7.205128205128205,73.07407407407408,2.4911629936722672,5.979032913228271,No,No,Yes,No,No,Fecundity (F),Adult,Life history,30,Evangelou et al (2019) G3,"Mean number of eggs produced by single females, per day. Higher values indicate more fecund females.",Traits measured in females,218
fertilised.egg.retention.score.f,1.1765746156985444,4.919348871624122,3.4543429844097995,0.3664702365701597,1.1135279211156086,No,No,No,No,No,Fertilised egg retention score (F),Adult,Life history,48,Horvath and Kalinka (2018) Evolution,"Mean fertilised egg retention score. An estimation of the progression of embryo development taken two hours after a one hour egg laying period. Higher values indicate more developed embryos which signifies a greater degree of egg retention. Note that both males and femlaes were sourced from the DGRP line, therefore variation could be explained by either the male or female genotype.",Traits measured in females,219
fertility.25C.m,1.0012507817385867,36.12296983758701,11.588512981904012,0.08858348074567969,1.0011833560016858,No,No,No,No,No,Fertility 25C (M),Adult,Life history,121,Zwoinska et al (2020) Frontiers in Genetics,Mean proportion of males that produced viable larvae. Males were reared at 25C. Higher values indicates greater fertility.,Traits measured in males,220
fertility.27C.m,0.6628559551028892,28.739776951672862,6.952286282306163,0.06887567639788897,0.6819230224829483,No,No,No,No,No,Fertility 27C (M),Adult,Life history,121,Zwoinska et al (2020) Frontiers in Genetics,Mean proportion of males that produced viable larvae. Males were reared at 27C. Higher values indicates greater fertility,Traits measured in males,221
fertility.29C.m,0.9753086419753086,3.6056419113413933,2.4453057708871664,0.39555167902311383,0.9859555704502222,No,No,No,No,No,Fertility 29C (M),Adult,Life history,121,Zwoinska et al (2020) Frontiers in Genetics,Mean proportion of males that produced viable larvae. Males were reared at 29C. Higher values indicates greater fertility,Traits measured in males,222
foraging.survival.m,23.502297090352222,0.4695077149155033,4.47008547008547,15.614745586708203,0.5020276904437337,No,No,No,No,No,Foraging survival (M),Adult,Life history,63,Lee et al (2017) Genome Biology and Evolution,Adult mean survival when flies were provided access to food over a 5 day period. Higher values indicate greater survival and assumed greater foraging ability.,Traits measured in males,223
lead.egg.adult.development.time.2016.f,1.1231422505307855,3.207204838285564,2.4957395674022287,0.4668133480014668,1.0627663708229946,No,No,No,No,No,Lead egg adult development time  (F),Juvenile,Life history,118,Zhou et al (2016) Environmental Health Perspectives,"Mean egg-to-adult development time in days, when reared at 25C on food medium supplemented with 0.5 mM lead acetate. Higher values indicate a longer development time.",Traits measured in females,224
lead.egg.adult.development.time.2016.m,0.9356399709654004,6.023705004389815,3.440743824590619,0.2814352074323242,0.9535407712810947,No,No,No,No,No,Lead egg adult development time  (M),Juvenile,Life history,118,Zhou et al (2016) Environmental Health Perspectives,"Mean egg-to-adult development time in days, when reared at 25C on food medium supplemented with 0.5 mM lead acetate. Higher values indicate a longer development time.",Traits measured in males,225
lifespan.18C.f,0.12890707683623792,9.296010296010296,1.0486555697823303,0.04078579327392181,0.2332457067296619,No,No,No,No,No,Lifespan 18C (F),Adult,Life history,54,Huang et al (2020) PLOS Biology,"Mean adult lifespan when reared at 18C, measured in days. Higher values indicate longer-lived flies.",Traits measured in females,226
lifespan.18C.m,0.13050236698933088,5.5762433210028775,0.796339957336926,0.056872977079067306,0.3027492456751091,No,No,No,No,No,Lifespan 18C (M),Adult,Life history,54,Huang et al (2020) PLOS Biology,"Mean adult lifespan when reared at 18C, measured in days. Higher values indicate longer-lived flies.",Traits measured in males,227
lifespan.2019.f,0.665105630138412,2.015454202789295,1.2355735643426016,0.45177388621722164,0.873134749245646,No,No,No,No,No,Lifespan  (F),Adult,Life history,51,Houston (2019) Thesis,Mean lifespan in days. Higher values indicate a longer lifespan.,Traits measured in females,228
lifespan.25C.2014.f,1.9493087557603688,3.508312200619893,3.930662557781202,0.6911531550576049,1.436300496729314,No,No,No,No,No,Lifespan 25C  (F),Adult,Life history,26,Durham et al (2014) Nature Communications,"Mean adult lifespan, measured as the number of days from eclosion to death, when living with a single  standard male, at 25C. Higher values indicate longer lived flies.",Traits measured in females,229
lifespan.25C.2015.f,0.08217788298951641,1.7519779841761265,0.2858635377320582,0.11529346159208141,0.6237059032238301,No,No,No,No,No,Lifespan 25C  (F),Adult,Life history,55,Ivanov et al (2015) The Journals of Gerontology: Series A,"Adult lifespan, measured in days, for virgin females. Higher values indicate greater longevity.",Traits measured in females,230
lifespan.25C.2020.f,0.3772918998020143,12.973799126637555,2.576218149307108,0.08247073946282389,0.4415301572332125,No,No,No,No,No,Lifespan 25C  (F),Adult,Life history,54,Huang et al (2020) PLOS Biology,"Mean adult lifespan when reared at 25C, measured in days. Higher values indicate longer-lived flies.",Traits measured in females,231
lifespan.25C.2020.m,0.6400164001640016,23.316109422492403,5.451612903225806,0.0882873078492722,0.6646605772689139,No,No,No,No,No,Lifespan 25C  (M),Adult,Life history,54,Huang et al (2020) PLOS Biology,"Mean adult lifespan when reared at 25C, measured in days. Higher values indicate longer-lived flies.",Traits measured in males,232
lifespan.25C.high.yeast.f,1.576489533011272,30.31115459882583,13.349775784753364,0.1552346570397112,1.5299097593047806,No,No,No,No,No,Lifespan 25C high yeast (F),Adult,Life history,113,Wilson et al (2020) Current Biology,Median mated female lifespan when reared at 25C and then kept as adults on a diet containing 5% yeast. Higher values indicate longer lived flies. Note these flies come from the same populations as used by Jin et al (2020).,Traits measured in females,233
lifespan.25C.low.yeast.f,0.3120131201312013,1.041858090862685,0.4521691777092031,0.42526278282558344,0.9787292786078652,No,No,No,No,No,Lifespan 25C low yeast (F),Adult,Life history,113,Wilson et al (2020) Current Biology,Median mated female lifespan when reared at 25C and then kept as adults on a diet containing 0.5% yeast (dietary restricted). Higher values indicate longer lived flies. Note these flies come from the same populations as used by Jin et al (2020).,Traits measured in females,234
lifespan.28C.f,0.7110469468506042,15.096579476861168,4.551700208188758,0.12628466844995073,0.7423237638832235,No,No,No,No,No,Lifespan 28C (F),Adult,Life history,54,Huang et al (2020) PLOS Biology,"Mean adult lifespan when reared at 28C, measured in days. Higher values indicate longer-lived flies.",Traits measured in females,235
lifespan.28C.m,0.5602145294978059,456.14285714285717,24.078369905956112,0.010930688064699564,0.5617169491737387,No,Yes,No,Yes,No,Lifespan 28C (M),Adult,Life history,54,Huang et al (2020) PLOS Biology,"Mean adult lifespan when reared at 28C, measured in days. Higher values indicate longer-lived flies.",Traits measured in males,236
lifespan.following.diapause.2019.f,0.8768328445747801,0.14498354086160012,0.24127230411171452,3.433361041839845,1.1030615153708332,No,No,No,No,No,Lifespan following diapause  (F),Adult,Life history,51,Houston (2019) Thesis,"Mean lifespan in days for virgin females following diapause induction (10 ̊C for 35 days, moved to 18 ̊C for a day of acclimation, remainder of their lives at 25 ̊C). Higher values indicate a longer lifespan.",Traits measured in females,237
lifespan.high.sugar.diet.f,2.3174372797014304,6.149240393208221,6.586533902323376,0.5283217117203172,1.801235327271606,No,No,No,No,No,Lifespan high sugar diet (F),Adult,Life history,84,Patel and Talbert (2021) Heliyon,Mean lifespan of 20 females maintained on a high sugar diet. Means are adjusted for block effects. Higher values indicate longer lived flies.,Traits measured in females,238
lifetime.fecundity.25C.f,570.4285714285714,8.40623162845385,799,9.139416983523448,8.285878239501947,Yes,No,Yes,No,No,Lifetime fecundity 25C (F),Adult,Life history,26,Durham et al (2014) Nature Communications,"Fecundity was estimated every other week of the female’s lifespan as a 2-day total of eggs laid, when living with a single standard male, at 25C. Lifetime fecundity was estimated as the sum of all egg counts across the female's lifespan. Higher values indicate greater fecundity. Note that female's were eliminated form the analysis upon death.",Traits measured in females,239
micro.environmental.plasticity.lifespan.18C.f,1.2566995768688294,10.611030478955007,5.739679865206402,0.24736883137132612,1.2078870555376737,No,No,No,No,No,Micro environmental plasticity lifespan 18C (F),Adult,Life history,54,Huang et al (2020) PLOS Biology,Mean within-line (micro-environmental) variance in lifespan at 18C. Such micro-environmental variance may be due to the plasticity of lifespan in response to unmeasured environmental variation and intrinsic variability of each individual genotype. Higher values indicate greater variance in lifespan.,Traits measured in females,240
micro.environmental.plasticity.lifespan.18C.m,2.7322136692325634,2.432003432003432,3.8929663608562692,1.098360655737705,1.480331455993707,No,No,No,No,No,Micro environmental plasticity lifespan 18C (M),Adult,Life history,54,Huang et al (2020) PLOS Biology,Mean within-line (micro-environmental) variance in lifespan at 18C. Such micro-environmental variance may be due to the plasticity of lifespan in response to unmeasured environmental variation and intrinsic variability of each individual genotype. Higher values indicate greater variance in lifespan.,Traits measured in males,241
micro.environmental.plasticity.lifespan.25C.f,0.7628911414720141,63,11.461059190031152,0.05290866017372993,0.7694466332130663,No,Yes,No,No,No,Micro environmental plasticity lifespan 25C (F),Adult,Life history,54,Huang et al (2020) PLOS Biology,Mean within-line (micro-environmental) variance in lifespan at 25C. Such micro-environmental variance may be due to the plasticity of lifespan in response to unmeasured environmental variation and intrinsic variability of each individual genotype. Higher values indicate greater variance in lifespan.,Traits measured in females,242
micro.environmental.plasticity.lifespan.25C.m,0.6537467700258398,93.11764705882354,11.628255722178373,0.03774808665196524,0.6598532715643143,No,Yes,No,No,No,Micro environmental plasticity lifespan 25C (M),Adult,Life history,54,Huang et al (2020) PLOS Biology,Mean within-line (micro-environmental) variance in lifespan at 25C. Such micro-environmental variance may be due to the plasticity of lifespan in response to unmeasured environmental variation and intrinsic variability of each individual genotype. Higher values indicate greater variance in lifespan.,Traits measured in males,243
micro.environmental.plasticity.lifespan.28C.f,0.7342293518317797,19.253164556962027,5.451612903225806,0.10550680577627305,0.7572892495358969,No,No,No,No,No,Micro environmental plasticity lifespan 28C (F),Adult,Life history,54,Huang et al (2020) PLOS Biology,Mean within-line (micro-environmental) variance in lifespan at 28C. Such micro-environmental variance may be due to the plasticity of lifespan in response to unmeasured environmental variation and intrinsic variability of each individual genotype. Higher values indicate greater variance in lifespan.,Traits measured in females,244
micro.environmental.plasticity.lifespan.28C.m,0.6237061091942359,2.2038446135362433,1.248138260503021,0.40240161276185465,0.8397908939664692,No,No,No,No,No,Micro environmental plasticity lifespan 28C (M),Adult,Life history,54,Huang et al (2020) PLOS Biology,Mean within-line (micro-environmental) variance in lifespan at 28C. Such micro-environmental variance may be due to the plasticity of lifespan in response to unmeasured environmental variation and intrinsic variability of each individual genotype. Higher values indicate greater variance in lifespan.,Traits measured in males,245
virgin.egg.retention.f,0.26622348844571064,1.5113796892167635,0.5251167667524544,0.29387028950347727,0.7889076655867442,No,No,No,No,No,Virgin egg retention (F),Adult,Life history,4,Akhund-Zade et al (2017) Journal of Insect Science,"Mean unfertilised egg retention time, measured as the number of days before a virgin female laid her first egg. Higher values indicate a longer retention time.",Traits measured in females,246
week1.fecundity.25C.f,499,5.950477845351868,456.14285714285717,10.019283746556473,5.882336140179424,Yes,No,Yes,No,No,Week1 fecundity 25C (F),Adult,Life history,26,Durham et al (2014) Nature Communications,"Mean fecundity in the first week of a female's adult life, measured as a 2-day total of eggs laid, when living with a single standard male, at 25C. Higher values indicate greater fecundity.",Traits measured in females,247
week3.fecundity.25C.f,130.14754098360655,5.2329567588624855,129.08130081300814,6.349563619660083,5.038070221435847,Yes,No,Yes,No,No,Week3 fecundity 25C (F),Adult,Life history,26,Durham et al (2014) Nature Communications,"Mean fecundity in the third week of a female's adult life, measured as a 2-day total of eggs laid, when living with a single standard male, at 25C. Higher values indicate greater fecundity.",Traits measured in females,248
week5.fecundity.25C.f,11.345679012345679,0.3363400985550823,2.399192691735713,13.010507880910684,0.41225808239713857,No,No,No,No,No,Week5 fecundity 25C (F),Adult,Life history,26,Durham et al (2014) Nature Communications,"Mean fecundity in the fifth week of a female's adult life, measured as a 2-day total of eggs laid, when living with a single standard male, at 25C. Higher values indicate greater fecundity. Note that female's were eliminated form the analysis upon death.",Traits measured in females,249
week7.fecundity.25C.f,0.8179752300874901,0.3334444537044754,0.39033715676051445,1.868411617067049,1.105373932421214,No,No,No,No,No,Week7 fecundity 25C (F),Adult,Life history,26,Durham et al (2014) Nature Communications,"Mean fecundity in the seventh week of a female's adult life, measured as a 2-day total of eggs laid, when living with a single standard male, at 25C. Higher values indicate greater fecundity. Note that female's were eliminated form the analysis upon death.",Traits measured in females,250
