Trait,Trait guild,Trait description,Reference,Life_stage
ethanol.sensitivity.viability,Drug response,"The mean difference in the percentage of flies surviving to eclosion, between those reared on ethanol-supplemented (10% EtOH) and standard food medium. Lower values indicate a greater negative effect of ethanol on egg to adult viability.",Morozova (2018) G3,Juvenile
ethanol.tolerance.f,Drug response,Mean difference in knockdown time between a second and first exposure to ethanol. Higher values indicate lines with higher tolerances to ethanol.,Morozova el al. (2015) BMC Genomics,Adult
ethanol.tolerance.m,Drug response,Mean difference in knockdown time between a second and first exposure to ethanol. Higher values indicate lines with higher tolerances to ethanol.,Morozova el al. (2015) BMC Genomics,Adult
exercise.induced.activity.f,Activity,"Exercise induced activity levels, measured as the mean number of times a fly crossed a beam running down the midline of a vial, within a five minute interval. Activity was induced by vertically rotating vials at four rpm. Higher values indicate higher exercise induced activity levels.",Watanabe et al (2020) G3,Adult
exercise.induced.activity.m,Activity,"Exercise induced activity levels, measured as the mean number of times a fly crossed a beam running down the midline of a vial, within a five minute interval. Activity was induced by vertically rotating vials at four rpm. Higher values indicate higher exercise induced activity levels.",Watanabe et al (2020) G3,Adult
eye.area.diabetes.susceptibility.2014a.f,Stress response,"Mean total eye area, measured in screen pixels (x 10^3) at a standard microscope magnification. This is a measure of permanent neonatal diabetes mellitus susceptibility, as the authors created a transgene of a diabetes-causing, human mutant preproinsulin (hINS^C96Y) that can be expressed in the eye imaginal discs. This misfolded proinsulin protein causes the loss of insulin-secreting pancreatic beta cells and diabetes in humans and mice. When mis-expressed in the Drosophila eye imaginal disc, it disrupts eye development, resulting in a reduced eye area in adult flies. Higher values indicate a larger eye, and greater resistance to the effects of the diabetes causing transgene.",Park et al (2014) Genetics,Adult
eye.area.diabetes.susceptibility.2014a.m,Stress response,"Mean total eye area, measured in screen pixels (x 10^3) at a standard microscope magnification. This is a measure of permanent neonatal diabetes mellitus susceptibility, as the authors created a transgene of a diabetes-causing, human mutant preproinsulin (hINS^C96Y) that can be expressed in the eye imaginal discs. This misfolded proinsulin protein causes the loss of insulin-secreting pancreatic beta cells and diabetes in humans and mice. When mis-expressed in the Drosophila eye imaginal disc, it disrupts eye development, resulting in a reduced eye area in adult flies. Higher values indicate a larger eye, and greater resistance to the effects of the diabetes causing transgene.",Park et al (2014) Genetics,Adult
eye.area.Drop.susceptibility.2014a.f,Stress response,"Mean total eye area, measured in screen pixels (x 10^3) at a standard microscope magnification. This is a measure of susceptibility to the dominant Drop mutation, which reduces eye size. Higher values indicate a larger eye, and greater resistance to the effects of the Drop mutation.",Park et al (2014) Genetics,Adult
eye.area.Drop.susceptibility.2014a.m,Stress response,"Mean total eye area, measured in screen pixels (x 10^3) at a standard microscope magnification. This is a measure of susceptibility to the dominant Drop mutation, which reduces eye size. Higher values indicate a larger eye, and greater resistance to the effects of the Drop mutation.",Park et al (2014) Genetics,Adult
eye.area.Lobe.susceptibility.2014a.f,Stress response,"Mean total eye area, measured in screen pixels (x 10^3) at a standard microscope magnification. This is a measure of susceptibility to the dominant Lobe mutation, which reduces eye size. Higher values indicate a larger eye, and greater resistance to the effects of the Drop mutation.",Park et al (2014) Genetics,Adult
eye.area.Lobe.susceptibility.2014a.m,Stress response,"Mean total eye area, measured in screen pixels (x 10^3) at a standard microscope magnification. This is a measure of susceptibility to the dominant Lobe mutation, which reduces eye size. Higher values indicate a larger eye, and greater resistance to the effects of the Drop mutation.",Park et al (2014) Genetics,Adult
fecundity.f,Life history,"Mean number of eggs produced by single females, per day. Higher values indicate more fecund females.",Evangelou et al (2019) G3,Adult
fertilised.egg.retention.score.f,Life history,"Mean fertilised egg retention score. An estimation of the progression of embryo development taken two hours after a one hour egg laying period. Higher values indicate more developed embryos which signifies a greater degree of egg retention. Note that both males and femlaes were sourced from the DGRP line, therefore variation could be explained by either the male or female genotype.",Horvath and Kalinka (2018) Evolution,Adult
fipronil.resistance,Insecticide response,"Larval to adult survival on food media supplemented with 0.5PPM fipronil – an insecticide from the phenylpyrazole family, released for commercial use in 1993. Higher values indicate greater resistance.",Remnant et al (2014) Insect Biochemistry and Molecular Biology,Juvenile
fitness.early.life.f,Life history,"Mean number of L1 larvae produced by females aged 5-6 days over a 24h period. For each replicate measurement, 5 DGRP females were housed with standardised mates and opposite-sex competitors (15 males and 10 females, giving an overall population size of 30 and 1:1 sex ratio). Fitness was estimated on the latent scale from a generalised linear mixed model, and is scaled to have a mean of zero and unit variance.",Wong and Holman (in prep),Adult
fitness.early.life.m,Life history,"Mean number of L1 larvae sired by males in competition for matings/fertilisations with same-aged competitor males over 3 days, beginning when all males were aged 2-3 days. For each replicate measurement, 5 DGRP males were housed with standardised mates and opposite-sex competitors (15 females and 10 males, giving an overall population size of 30 and 1:1 sex ratio). Fitness was estimated on the latent scale from a generalised linear mixed model, and is scaled to have a mean of zero and unit variance.",Wong and Holman (in prep),Adult
fitness.late.life.f,Life history,"Mean number of L1 larvae produced by females aged 17-18 days over a 24h period. For each replicate measurement, 5 DGRP females were housed with standardised mates and opposite-sex competitors (15 males and 10 females, giving an overall population size of 30 and 1:1 sex ratio). Fitness was estimated on the latent scale from a generalised linear mixed model, and is scaled to have a mean of zero and unit variance.",Wong and Holman (in prep),Adult
fitness.late.life.m,Life history,"Mean number of L1 larvae sired by males in competition for matings/fertilisations with same-aged competitor males over 3 days, beginning when all males were aged 14-15 days. For each replicate measurement, 5 DGRP males were housed with standardised mates and opposite-sex competitors (15 females and 10 males, giving an overall population size of 30 and 1:1 sex ratio). Fitness was estimated on the latent scale from a generalised linear mixed model, and is scaled to have a mean of zero and unit variance.",Wong and Holman (in prep),Adult
flight.performance.f,Activity,"Mean height (m) at which flies catch themselves from freefall after vial inversion. Means are adjusted for wolbachia and chromosomal inversions. Higher values indicate lines that caught themselves earlier, which is interpreted as greater flight performance.",Spierer et al (2021) PLOS Genetics,Adult
flight.performance.m,Activity,"Mean height (m) at which flies catch themselves from freefall after rapid inversion. Means are adjusted for wolbachia and chromosomal inversions. Higher values indicate lines that caught themselves earlier, which is interpreted as greater flight performance.",Spierer et al (2021) PLOS Genetics,Adult
flock.house.virus.resistance.m,Pathogen response,"Mean days survived after infection with Flock House Virus (FHV) - a nodavirus virus that typically infects beetles. Higher values indicate a longer lifespan, and therefore a greater resistance to FHV.",Magwire et al (2012) PLOS Genetics,Adult
following.same.sex.m,Behavioural,"Incidence of DGRP males following an interacting male, sourced from a wildtype laboratory strain. Higher values indicate a greater incidence of following.",Bailey and Hoskins (2014) Evolution,Adult
food.intake.control.exercise.m,Behavioural,"Mean quantity of 10% sucrose, 5% yeast nutrient solution consumed by five virgin flies over an 8 hour period, measured in flies that exhibited normal movement (control) during the exercise period. Higher values indicate greater food consumption.",Mendez et al (2016) PLOS One,Adult
food.intake.f,Behavioural,Mean quantity of 4% sucrose solution consumed per fly iover a 24 hour period. Higher values indicate greater food intake.,Garlapow et al (2015) PLOS One,Adult
food.intake.m,Behavioural,Mean quantity of 4% sucrose solution consumed per fly over a 24 hour period. Higher values indicate greater food intake.,Garlapow et al (2015) PLOS One,Adult
food.intake.post.exercise.m,Behavioural,"Mean quantity of 10% sucrose, 5% yeast nutrient solution consumed by five virgin flies over an 8 hour period, following a three-day exercise regime. Higher values indicate greater food consumption.",Mendez et al (2016) PLOS One,Adult
foraging.survival.m,Life history,Adult mean survival when flies were provided access to food over a 5 day period. Higher values indicate greater survival and assumed greater foraging ability.,Lee et al (2017) Genome Biology and Evolution,Adult
G1P.G6P.F6P.F1P.high.yeast.f,Metabolome,"Mean relative G1P, G6P, F6P and F1P concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolites. Note these flies come from the same populations as used by Wilson et al (2020).",Jin et al (2020) PLOS Genetics,Adult
G1P.G6P.F6P.F1P.low.yeast.f,Metabolome,"Mean relative G1P, G6P, F6P and F1P concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolites. Note these flies come from the same populations as used by Wilson et al (2020).",Jin et al (2020) PLOS Genetics,Adult
genome.size,Genomic,"Mean size of the genome in mb, estimated using flow cytometry. Higher values indicate a larger genome.",Huang et al (2014) Genome Research & Ellis et al (2014) PLOS Genetics,Adult
geranyl.pyrophosphate.high.yeast.f,Metabolome,Mean relative geranyl pyrophosphate concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,Adult
geranyl.pyrophosphate.low.yeast.f,Metabolome,Mean relative geranyl pyrophosphate concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,Adult
glucoronate.high.yeast.f,Metabolome,Mean relative glucoronate concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,Adult
glucoronate.low.yeast.f,Metabolome,Mean relative glucoronate concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,Adult
glucose.2015.m,Metabolome,Estimated mass of free glucose per male fly divided by the average mass of males from that line. Higher values indicate greater content of the macronutrient.,"Unckless, Rottschaefer and Lazzaro (2015) G3",Adult
glucose.2018.f,Metabolome,Mean quantity of glucose per adult fly. Higher values indicate a higher glucose content.,Jehrke et al (2018) Scientific Reports,Adult
glucose.2018.m,Metabolome,Mean quantity of glucose per adult fly. Higher values indicate a higher glucose content.,Jehrke et al (2018) Scientific Reports,Adult
glucose.2019.f,Metabolome,Mean free glucose (mg/ul) extracted from 10 virgin flies. Higher values indicate greater levels of free glucose.,Zhou et al (2020) Genome Research,Adult
glucose.2019.m,Metabolome,Mean free glucose (mg/ul) extracted from 10 virgin flies. Higher values indicate greater levels of free glucose.,Zhou et al (2020) Genome Research,Adult
glucose.abdomen.content.control.exercise.m,Metabolome,"Mean abdomen glucose content (log-transformed data is originally reported), measured in flies that exhibited normal movement (control) during the exercise period. Higher values indicate flies with a greater glucose content.",Mendez et al (2016) PLOS One,Adult
glucose.abdomen.content.post.exercise.m,Metabolome,"Mean abdomen glucose content (log-transformed data is originally reported), following a three-day exercise regime. Higher values indicate flies with a greater glucose content.",Mendez et al (2016) PLOS One,Adult
glucose.fructose.preference.f,Sensory,Mean preference for glucose when given a choice between glucose and fructose. Higher values indicate a greater preference for glucose consumption.,Uchizono and Tamimura (2017) Chemical Senses,Adult
glucose.fructose.preference.m,Sensory,Mean preference for glucose when given a choice between glucose and fructose. Higher values indicate a greater preference for glucose consumption.,Uchizono and Tamimura (2017) Chemical Senses,Adult
glucose.high.glucose.diet.m,Metabolome,Mean free glucose (mg/ul) extracted from 10 flies that were reared on a diet containing 10% glucose. Higher values indicate greater levels of free glucose.,"Unckless, Rottschaefer and Lazzaro (2015) PLOS Genetics",Adult
glucose.high.yeast.f,Metabolome,Mean relative glucose concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,Adult
glucose.larvae.2018,Metabolome,Mean quantity of glucose per third instar larvae. Higher values indicate a higher glucose content.,Jehrke et al (2018) Scientific Reports,Juvenile
glucose.low.glucose.diet.m,Metabolome,Mean free glucose (mg/ul) extracted from 10 flies that were reared on a diet containing 2.5% glucose. Higher values indicate greater levels of free glucose.,"Unckless, Rottschaefer and Lazzaro (2015) PLOS Genetics",Adult
glucose.low.yeast.f,Metabolome,Mean relative glucose concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,Adult
glucose.medium.glucose.diet.m,Metabolome,Mean free glucose (mg/ul) extracted from 10 flies that were reared on a diet containing 5% glucose. Higher values indicate greater levels of free glucose.,"Unckless, Rottschaefer and Lazzaro (2015) PLOS Genetics",Adult
glucose.sucrose.preference.f,Sensory,Mean preference for glucose when given a choice between glucose and sucrose. Higher values indicate a greater preference for glucose consumption.,Uchizono and Tamimura (2017) Chemical Senses,Adult
glucose.sucrose.preference.m,Sensory,Mean preference for glucose when given a choice between glucose and sucrose. Higher values indicate a greater preference for glucose consumption.,Uchizono and Tamimura (2017) Chemical Senses,Adult
glucose.thorax.content.control.exercise.m,Metabolome,"Mean thorax glucose content (log-transformed data is originally reported), measured in flies that exhibited normal movement (control) during the exercise period. Higher values indicate flies with a greater glucose content.",Mendez et al (2016) PLOS One,Adult
glucose.thorax.content.post.exercise.m,Metabolome,"Mean thorax glucose content (log-transformed data is originally reported), following a three-day exercise regime. Higher values indicate flies with a greater glucose content.",Mendez et al (2016) PLOS One,Adult
glucose.trehalose.preference.f,Sensory,Mean preference for glucose when given a choice between glucose and trehalose. Higher values indicate a greater preference for glucose consumption.,Uchizono and Tamimura (2017) Chemical Senses,Adult
glucose.trehalose.preference.m,Sensory,Mean preference for glucose when given a choice between glucose and trehalose. Higher values indicate a greater preference for glucose consumption.,Uchizono and Tamimura (2017) Chemical Senses,Adult
glucose.yeast.poor.diet.f,Metabolome,Mean quantity of glucose extracted from whole fly homogenate and standardised for body size. Three flies reared on food with 0.5% yeast content (dietary restricted) were homogenised. Higher values indicate higher glucose levels.,Nelson et al (2016) BMC Genomics,Adult
glucose.yeast.rich.diet.f,Metabolome,Mean quantity of glucose extracted from whole fly homogenate and standardised for body size. Three flies reared on food with 5% yeast content (ab libitum diet) were homogenised. Higher values indicate higher glucose levels.,Nelson et al (2016) BMC Genomics,Adult
glutamic.acid.high.yeast.f,Metabolome,Mean relative glutamic acid concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,Adult
glutamic.acid.low.yeast.f,Metabolome,Mean relative glutamic acid concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,Adult
glutamine.high.yeast.f,Metabolome,Mean relative glutamine concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,Adult
glutamine.low.yeast.f,Metabolome,Mean relative glutamine concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,Adult
glyceraldehyde.high.yeast.f,Metabolome,Mean relative glyceraldehyde concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,Adult
glyceraldehyde.low.yeast.f,Metabolome,Mean relative glyceraldehyde concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,Adult
glycerate.high.yeast.f,Metabolome,Mean relative glycerate concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,Adult
glycerate.low.yeast.f,Metabolome,Mean relative glycerate concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,Adult
glycerol-3-P.high.yeast.f,Metabolome,Mean relative glycerol-3-P concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,Adult
glycerol-3-P.low.yeast.f,Metabolome,Mean relative glycerol-3-P concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,Adult
glycerol.2015.m,Metabolome,Estimated mass of free glycerol per male fly divided by the average mass of males from that line. Higher values indicate greater content of the macronutrient.,"Unckless, Rottschaefer and Lazzaro (2015) G3",Adult
glycerol.2018.f,Metabolome,Mean quantity of glycerol per adult fly. Higher values indicate a higher glycerol content.,Jehrke et al (2018) Scientific Reports,Adult
glycerol.2018.m,Metabolome,Mean quantity of glycerol per adult fly. Higher values indicate a higher glycerol content.,Jehrke et al (2018) Scientific Reports,Adult
glycerol.2019.f,Metabolome,Mean free glycerol (mg/ul) extracted from 10 virgin flies. Higher values indicate greater levels of free glycerol.,Zhou et al (2020) Genome Research,Adult
glycerol.2019.m,Metabolome,Mean free glycerol (mg/ul) extracted from 10 virgin flies. Higher values indicate greater levels of free glycerol.,Zhou et al (2020) Genome Research,Adult
glycerol.abdomen.content.control.exercise.m,Metabolome,"Mean abdomen glycerol content (log-transformed data is originally reported), measured in flies that exhibited normal movement (control) during the exercise period. Higher values indicate flies with a greater glucose content.",Mendez et al (2016) PLOS One,Adult
glycerol.abdomen.content.post.exercise.m,Metabolome,"Mean abdomen glycerol content (log-transformed data is originally reported), following a three-day exercise regime. Higher values indicate flies with a greater glucose content.",Mendez et al (2016) PLOS One,Adult
glycerol.high.glucose.diet.m,Metabolome,Mean glycerol (mg/ul) extracted from 10 flies that were reared on a diet containing 10% glucose. Higher values indicate greater levels of glycerol.,"Unckless, Rottschaefer and Lazzaro (2015) PLOS Genetics",Adult
glycerol.larvae.2018,Metabolome,Mean quantity of glycerol per third instar larvae. Higher values indicate a higher glycerol content.,Jehrke et al (2018) Scientific Reports,Juvenile
glycerol.low.glucose.diet.m,Metabolome,Mean glycerol (mg/ul) extracted from 10 flies that were reared on a diet containing 2.5% glucose. Higher values indicate greater levels of glycerol.,"Unckless, Rottschaefer and Lazzaro (2015) PLOS Genetics",Adult
glycerol.medium.glucose.diet.m,Metabolome,Mean glycerol (mg/ul) extracted from 10 flies that were reared on a diet containing 5% glucose. Higher values indicate greater levels of glycerol.,"Unckless, Rottschaefer and Lazzaro (2015) PLOS Genetics",Adult
glycerol.thorax.content.control.exercise.m,Metabolome,"Mean thorax glycerol content (log-transformed data is originally reported), measured in flies that exhibited normal movement (control) during the exercise period. Higher values indicate flies with a greater glucose content.",Mendez et al (2016) PLOS One,Adult
glycerol.thorax.content.post.exercise.m,Metabolome,"Mean thorax glycerol content (log-transformed data is originally reported), following a three-day exercise regime. Higher values indicate flies with a greater glucose content.",Mendez et al (2016) PLOS One,Adult
glycine.high.yeast.f,Metabolome,Mean relative glycine concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,Adult
glycine.low.yeast.f,Metabolome,Mean relative glycine concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,Adult
glycine.pref.post.limitation.f,Sensory,Mean change in glycine diluted food medium preference after deprivation of amino acids compared with flies that had experienced no deprivation of amino acids. Positive values indicate a stronger change in preference towards the glycine supplemented medium after deprivation.,Toshima et al (2014) Journal of Insect Physiology,Adult
glycine.pref.post.limitation.m,Sensory,Mean change in glycine diluted food medium preference after deprivation of amino acids compared with flies that had experienced no deprivation of amino acids. Positive values indicate a stronger change in preference towards the glycine supplemented medium after deprivation.,Toshima et al (2014) Journal of Insect Physiology,Adult
glycogen.2015.m,Metabolome,Estimated mass of glycogen stores per male fly divided by the average mass of males from that line. Higher values indicate greater content of the macronutrient.,"Unckless, Rottschaefer and Lazzaro (2015) G3",Adult
glycogen.2018.f,Metabolome,Mean quantity of glycogen per adult fly. Higher values indicate a higher glycogen content.,Jehrke et al (2018) Scientific Reports,Adult
glycogen.2018.m,Metabolome,Mean quantity of glycogen per adult fly. Higher values indicate a higher glycogen content.,Jehrke et al (2018) Scientific Reports,Adult
glycogen.2019.f,Metabolome,Mean glycogen (mg/ul) extracted from 10 virgin flies. Higher values indicate greater levels of glycogen.,Zhou et al (2020) Genome Research,Adult
glycogen.2019.m,Metabolome,Mean glycogen (mg/ul) extracted from 10 virgin flies. Higher values indicate greater levels of glycogen.,Zhou et al (2020) Genome Research,Adult
glycogen.high.glucose.diet.m,Metabolome,Mean glycogen (mg/ul) extracted from 10 flies that were reared on a diet containing 10% glucose. Higher values indicate greater levels of glycogen.,"Unckless, Rottschaefer and Lazzaro (2015) PLOS Genetics",Adult
glycogen.larvae.2018,Metabolome,Mean quantity of glycogen per third instar larvae. Higher values indicate a higher glycogen content.,Jehrke et al (2018) Scientific Reports,Juvenile
glycogen.low.glucose.diet.m,Metabolome,Mean glycogen (mg/ul) extracted from 10 flies that were reared on a diet containing 2.5% glucose. Higher values indicate greater levels of glycogen.,"Unckless, Rottschaefer and Lazzaro (2015) PLOS Genetics",Adult
glycogen.medium.glucose.diet.m,Metabolome,Mean glycogen (mg/ul) extracted from 10 flies that were reared on a diet containing 5% glucose. Higher values indicate greater levels of glycogen.,"Unckless, Rottschaefer and Lazzaro (2015) PLOS Genetics",Adult
GMP.high.yeast.f,Metabolome,Mean relative GMP concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,Adult
GMP.low.yeast.f,Metabolome,Mean relative GMP concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,Adult
grooming.f,Behavioural,Mean seconds spent grooming in a five minute interval. Higher values indicate more frequent grooming.,Hope et al (2019) Frontiers in Genetics,Adult
grooming.m,Behavioural,Mean seconds spent grooming in a five minute interval. Higher values indicate more frequent grooming.,Hope et al (2019) Frontiers in Genetics,Adult
guanosine.high.yeast.f,Metabolome,Mean relative guanosine concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,Adult
guanosine.low.yeast.f,Metabolome,Mean relative guanosine concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,Adult
gustatory.response.ethanol.f,Sensory,"Flies were given a choice between sucrose solution and sucrose solution supplemented with ethanol. Higher values indicate a preference for the ethanol supplemented sucrose, while lower values indicate an aversion towards the ethanol supplemented sucrose.",Chohan (2012) PhD thesis,Adult
gustatory.response.ethanol.m,Sensory,"Flies were given a choice between sucrose solution and sucrose solution supplemented with ethanol. Higher values indicate a preference for the ethanol supplemented sucrose, while lower values indicate an aversion towards the ethanol supplemented sucrose.",Chohan (2012) PhD thesis,Adult
gut.permeability.f,Physiological,"The mean proportion of 19 day-old flies with permeable guts, following no exposure to radiation. Gut permeability is an indicator of intestinal damage, and in this case was detected using the smurf assay. Higher values indicate greater intestinal damage.",Sharma et al (2020) Scientific reports,Adult
gut.permeability.radiation.f,Physiological,"The mean proportion of 19 day-old flies with permeable guts, following exposure to 100 gray units of ionising radiation when flies were 5 days old. Gut permeability is an indicator of intestinal damage, and in this case was detected using the smurf assay. Higher values indicate greater intestinal damage.",Sharma et al (2020) Scientific reports,Adult
heat.resistance.f,Temperature related,Mean time elapsed within a 37C waterbath before the fly was comatose. Higher values indicate greater resistance to heat stress.,Duun Rohde et al (2016) International Journal of Genomics,Adult
histamine.high.yeast.f,Metabolome,Mean relative histamine concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,Adult
histamine.low.yeast.f,Metabolome,Mean relative histamine concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,Adult
histidine.high.yeast.f,Metabolome,Mean relative histidine concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,Adult
histidine.low.yeast.f,Metabolome,Mean relative histidine concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,Adult
homogentisate.high.yeast.f,Metabolome,Mean relative homogentisate concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,Adult
homogentisate.low.yeast.f,Metabolome,Mean relative homogentisate concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,Adult
Hsp70.expression.f,Temperature related,"Mean expression of the heat shock protein Hsp70, after exposure to 35C for one hour and an additiol hour of recovery at 25C. Higher values indicate greater expression of Hsp70.",Duun Rohde et al (2016) International Journal of Genomics,Adult
hydrogen.peroxide.resistance.f,Stress response,Lifespan on a diet supplemented with 2-3% hydrogen peroxide (H2O2). Data are corrected for line body mass. Higher values indicate greater resistance to hydrogen peroxide.,Harrison et al (2020) BMC Genomics,Adult
hypoxanthine.high.yeast.f,Metabolome,Mean relative hypoxanthine concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,Adult
hypoxanthine.low.yeast.f,Metabolome,Mean relative hypoxanthine concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,Adult
imidacloprid.resistance.100ppm,Insecticide response,"Mean wiggle index for third instar larvae 1 hour into exposure to 100ppm of imidacloprid, a neonicotinoid pesticide. The wiggle index measures the relative movement ratio for larvae before and after they were exposed to imidacloprid. Higher values indicate a smaller decrease in motility and therefore greater resistance to imidacloprid.",Denecke et al (2017) Scientific Reports,Juvenile
imidacloprid.resistance.25ppm,Insecticide response,"Mean wiggle index for third instar larvae 1 hour into exposure to 25ppm of imidacloprid, a neonicotinoid pesticide. The wiggle index measures the relative movement ratio for larvae before and after they were exposed to imidacloprid. Higher values indicate a smaller decrease in motility and therefore greater resistance to imidacloprid.",Denecke et al (2017) Scientific Reports,Juvenile
IMP.high.yeast.f,Metabolome,Mean relative IMP concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,Adult
IMP.low.yeast.f,Metabolome,Mean relative IMP concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,Adult
